,source_url,test_name,grade,Logical Fallacy Types,sentence,canocalized_fallacy_types,fallacy_types
49689,https://quizizz.com/admin/quiz/61291a518d10ad001d97f8fb/persuasive-media-techniques,Persuasive Media Techniques,12th grade,bandwagon,"This technique uses the logic: Everyone else is doing it, you should too!",ad populum,bandwagon
49852,https://quizizz.com/admin/quiz/5f904c95930995001c0b07d3/literary-devices-figurative-bias-rhetoric,"Literary Devices (Figurative, Bias, Rhetoric)",9th - 12th grade,bandwagon effect,The latest craze or fad; everyone has to have it.,ad populum,bandwagon
50896,https://quizizz.com/admin/quiz/5e3347180c5dde001bd9e0da/rhetoric-quiz,Rhetoric Quiz,6th - 9th grade,bandwagon,Which fallacy is used to promote something based on popularity?,ad populum,bandwagon
50903,https://quizizz.com/admin/quiz/5e3347180c5dde001bd9e0da/rhetoric-quiz,Rhetoric Quiz,6th - 9th grade,bandwagon,"Now that the Chiefs are going to the Super Bowl, everybody is suddenly a fan.",ad populum,bandwagon
51536,https://quizizz.com/admin/quiz/5a731bf6caa1c2001fe49766/persuasion-and-advertising-vocab,Persuasion and Advertising Vocab,7th - 9th grade,Bandwagon,Join the crowd and don’t get left behind!,ad populum,bandwagon
52162,https://quizizz.com/admin/quiz/5e2f4b7876fbcc001b27409d/th-elar-unit-argumentative-vocab,8th ELAR Unit 4 Argumentative Vocab,7th - 9th grade,bandwagon appeals,"a persuasive technique used in media messages that appeals to the ""everyone is doing it"" mentality",ad populum,bandwagon
52654,https://quizizz.com/admin/quiz/5da3dffd9730c6001ae1d122/professional-communications-chapter-review,Professional Communications Chapter 7 & 8 Review,9th - 12th grade,bandwagon,Encourages the audience to become part of a group or act because other people are acting in the same way.,ad populum,bandwagon
2828,https://quizizz.com/admin/quiz/5f948dcbedafcd001e0c5506/logical-fallacies,Logical Fallacies,10th grade,It stereotypes.,"""Annie must like Starbucks because all white girls like Starbucks.""",hasty generalization,it stereotypes.; stereotyp
45797,https://quizizz.com/admin/quiz/601ab1436b68c3001b346fbc/logical-fallacy,Logical Fallacy,University,Hasty generalization,"It is warmer this year in Las Vegas as compared to last year; therefore, global warming is rapidly accelerating.",hasty generalization,hasty generalization
40985,https://quizizz.com/admin/quiz/5f886ce55bec10001beda125/logical-fallacy-practice,Logical Fallacy Practice,9th grade,Hasty generalization,"""The two courses I took at UF were not very interesting. I don't think its a good university.""",hasty generalization,hasty generalization
6587,https://quizizz.com/admin/quiz/601d66c86088e4001bc1a9d9/fallacies-pt,"Fallacies, pt. 3",9th - 12th grade,Hasty Generalization,A driver with a New York license plate cuts you off in traffic. You decide that all New York drivers are terrible drivers.,hasty generalization,hasty generalization
432,https://quizizz.com/admin/quiz/5e7d3bd586911a001b0f28c5/logical-fallacies,Logical Fallacies,7th grade,hasty generalization / over generalization,"""Four out of five dentists recommend Happy Glossy toothpaste. Therefore, it must be great.""",hasty generalization,hasty generalization
1068,https://quizizz.com/admin/quiz/5ad4e7ecdc7f09001a7e8c79/logical-fallacies,Logical Fallacies,7th - 8th grade,hasty generalization: a very broad claim based on very little evidence,No one in your family surfs? But I thought you said you lived in California before this.,hasty generalization,hasty generalization
125,https://quizizz.com/admin/quiz/5a785356c0a53f001fa6b5a1/logical-fallacies,Logical Fallacies,9th - 11th grade,stereotype,All women are bad drivers.,hasty generalization,stereotyp
39014,https://quizizz.com/admin/quiz/60b4f4000f8488001b40c84c/types-of-logical-fallacy,TYPES OF LOGICAL FALLACY,9th grade,Hasty generalization,You visit a new country and the first person you meet in the airport is rude. You send a message to a friend back home that everyone in this new country is rude.,hasty generalization,hasty generalization; overgeneraliz
40276,https://quizizz.com/admin/quiz/5d8b58e02e4e1c001a5023ab/fallacies,Fallacies,9th - 12th grade,Hasty Generalization,Kevin's grandparents do not know how to use a computer. Kevin thinks that all older people must be computer illiterate.,hasty generalization,hasty generalization
133,https://quizizz.com/admin/quiz/5a785356c0a53f001fa6b5a1/logical-fallacies,Logical Fallacies,9th - 11th grade,stereotype,Saying that men don't ever ask for directions,hasty generalization,stereotyp
1609,https://quizizz.com/admin/quiz/5f94b60e682994001daa62b4/logical-fallacies,Logical Fallacies,11th grade,Hasty Generalization,"If you eat a good diet, you will never have a heart attack.",hasty generalization,hasty generalization
143,https://quizizz.com/admin/quiz/5f50002ffb10b3001bac74ae/logical-fallacies,Logical Fallacies,7th - 8th grade,Hasty Generalization,Everyone knows that teenagers are lazy,hasty generalization,hasty generalization
181,https://quizizz.com/admin/quiz/601186198d64cb001b52da5f/logical-fallacies,Logical Fallacies,3rd - 12th grade,Categorical Claim,"MeowMeowTweet is American-made skincare. I used it, and it gave me zits. American-made skincare gives people acne.",hasty generalization,categorical claim
183,https://quizizz.com/admin/quiz/601186198d64cb001b52da5f/logical-fallacies,Logical Fallacies,3rd - 12th grade,Categorical Claim,"All teachers drink coffee and teachers are people; therefore, all people drink coffee.",hasty generalization,categorical claim
187,https://quizizz.com/admin/quiz/601186198d64cb001b52da5f/logical-fallacies,Logical Fallacies,3rd - 12th grade,Stereotype,All four year olds talk too much.,hasty generalization,stereotyp
46639,https://quizizz.com/admin/quiz/5f769795899c3f001cce9a5a/philo-quiz-week-fallacy,Philo- Quiz-Week 3-Fallacy,University,Hasty Generalization,I met a tall man who loved to eat cheese. Now I believe that all tall people like cheese.,hasty generalization,hasty generalization
41003,https://quizizz.com/admin/quiz/5a71115d28be22001ce11b57/logical-fallacy-practice,Logical Fallacy Practice,9th - 10th grade,Hasty Generalization,"I know three redheads who have terrible tempers, and since Annabel has red hair, I’ll bet she has a terrible temper too.",hasty generalization,hasty generalization
365,https://quizizz.com/admin/quiz/5f6780dc106b31001bb3e0cd/logical-fallacies,Logical Fallacies,10th - 11th grade,hasty generalization,We think this new MallTime game app will be a success because all girls like shopping.,hasty generalization,hasty generalization
6677,https://quizizz.com/admin/quiz/5db978973e3b40001ac3ffe3/persuasive-techniques-practice,Persuasive Techniques Practice,9th - 12th grade,generalization,People from big cities are not as friendly as those from small towns.,hasty generalization,hasty generalization
416,https://quizizz.com/admin/quiz/601d4f7f893cd7001c42d2a7/logical-fallacies,Logical Fallacies,10th grade,Hasty Generalization,My brother Humza eats cheeseburgers and pizza. He is thin. Cheeseburgers and pizza aren’t the cause of obesity.,hasty generalization,hasty generalization
419,https://quizizz.com/admin/quiz/601d4f7f893cd7001c42d2a7/logical-fallacies,Logical Fallacies,10th grade,Hasty Generalization,"“My roommate Fatima said her philosophy class was hard, and the one I’m in is hard, too. All philosophy classes must be hard!” Insisted Baneen.",hasty generalization,hasty generalization
439,https://quizizz.com/admin/quiz/5e7d3bd586911a001b0f28c5/logical-fallacies,Logical Fallacies,7th grade,hasty generalization / over generalization,"I was just on the phone with a Southerner, and I could barely keep up! All Southerners talk fast.",hasty generalization,hasty generalization
457,https://quizizz.com/admin/quiz/60242064a66179001be30a7b/logical-fallacies,Logical Fallacies,8th grade,hasty generalization,I have several female friends and every one of them loves country music. All females love country music.,hasty generalization,hasty generalization
43293,https://quizizz.com/admin/quiz/606da344cc5eda001ba2e53c/fallacies-quiz,Fallacies Quiz,11th grade,hasty generalization,"That type of car is poorly made; a friend of mine has one, and it continually gives him trouble.",hasty generalization,hasty generalization
641,https://quizizz.com/admin/quiz/5fc513ccc22a8c001b2c995b/logical-fallacies-more,Logical Fallacies & More,9th - 12th grade,Overgeneralization,Everyone loves Post Malone and can name at least one of his songs! (This is an example of...),hasty generalization,overgeneraliz
666,https://quizizz.com/admin/quiz/58eaee695faa9d643b89c21b/als-logical-fallacies,ALS411 Logical Fallacies,University grade,Jumping to Conclusions,"""That new home looks great! Let's buy it!""",hasty generalization,jumping to conclusions
676,https://quizizz.com/admin/quiz/58eaee695faa9d643b89c21b/als-logical-fallacies,ALS411 Logical Fallacies,University grade,Hasty generalization,"Jeff is preparing to create a commercial for a new energy drink. He visits a local high school and surveys students in an English class about their beverage preferences. The majority of the class says they prefer grape flavored drinks, so Jeff tells his superiors that grape is the flavor favored most by high school students. What error in reasoning has Jeff made?http://www.funtrivia.com",hasty generalization,hasty generalization
45416,https://quizizz.com/admin/quiz/5dd2aca5fc8633001bc7b986/fallacy-review,Fallacy Review,9th - 12th grade,hasty generalization,We think this new MallTime game app will be a success because all little girls like shopping.,hasty generalization,hasty generalization
796,https://quizizz.com/admin/quiz/5da783b3216605001ad267df/match-logical-fallacies,Match Logical Fallacies,10th - 12th grade,Hasty Generalization,"I saw a student texting in my class yesterday; all my students must be texting, so cell phones should be banned.",hasty generalization,hasty generalization
801,https://quizizz.com/admin/quiz/60a583dc64d8ad001bb5d3fd/logical-fallacies,Logical Fallacies,9th grade,Hasty Generalization,“The two courses I took at Harvard were not very interesting. I don't think it is a good university.”,hasty generalization,hasty generalization
803,https://quizizz.com/admin/quiz/60a583dc64d8ad001bb5d3fd/logical-fallacies,Logical Fallacies,9th grade,Sweeping Generalization,"“Birds can fly; therefore, penguins can fly.”",hasty generalization,sweeping generaliz
38840,https://quizizz.com/admin/quiz/5dfa3507a2918c001b19927c/rhetorical-fallacies-practice,Rhetorical Fallacies Practice,9th - 12th grade,hasty generalization: a very broad claim based on very little evidence,I can't understand why people are complaining that it's difficult to find a job in this job market. My daughter and I got jobs without any trouble.,hasty generalization,hasty generalization
1385,https://quizizz.com/admin/quiz/606f1a28b1113a001b6d6ba2/logical-fallicies,Logical Fallicies,5th - 6th grade,hasty generalization: a very broad claim based on very little evidence,"On my walk to work this morning, a woman on her bike nearly ran me off the sidewalk. I hadn't realized that cyclists were so aggressive and rude!",hasty generalization,hasty generalization
1075,https://quizizz.com/admin/quiz/611c9107f90b18001fce0b1d/logical-fallacies,Logical Fallacies,10th grade,Hasty Generalization,"Even without watching the movie, I just know that it would not be as good as the book.",hasty generalization,hasty generalization
1146,https://quizizz.com/admin/quiz/5f866cd09b8715001bf9a88c/identify-logical-fallacies,Identify logical fallacies,University,hasty generalization,"“Pain-Away worked for me, so it’s sure to work for you, too.”",hasty generalization,hasty generalization
1153,https://quizizz.com/admin/quiz/603c4135fe49e5001bc1c557/activity-march-logical-fallacies,Activity (March 1): Logical Fallacies,11th grade,dicto simpliciter,"The government is convinced that it was a bomb that brought down the aircraft. “Our countrymen believe it was a bomb,” said the president. “A survey done a few days after the crash indicates that almost seventy percent of the people believe it was a terrorist’s bomb.”",hasty generalization,dicto simpliciter
1155,https://quizizz.com/admin/quiz/603c4135fe49e5001bc1c557/activity-march-logical-fallacies,Activity (March 1): Logical Fallacies,11th grade,hasty generalization,All of those who hate the Duterte administration are CPP-NPA supporters.,hasty generalization,hasty generalization
1327,https://quizizz.com/admin/quiz/5c890a34b355a3001d6addb9/logical-fallacies,Logical Fallacies,10th grade,Hasty Generalization,"Mrs. Miller taught your older brother, who was the class clown. She decides to be strict with you from the very first day of class because she thinks you will be a clown, too.",hasty generalization,hasty generalization
1336,https://quizizz.com/admin/quiz/5df92b0aa5d605001fad432c/logical-fallacies-presidential-speeches,Logical Fallacies - Presidential Speeches,7th - 12th grade,Hasty Generalization,"JOHN F. KENNEDY: I'm not satisfied when the United States had last year the lowest rate of economic growth of any major industrialized society in the world… (from opening statement)
RICHARD NIXON: We heard tonight, for example, the statement made that our growth in national product last year was the lowest of any industrial nation in the world. Now last year, of course, was 1958. That happened to be a recession year. But when we look at the growth of G.N.P. this year, a year of recovery, we find that it's six and nine-tenths per cent and one of the highest in the world today… (from opening statement)
September 26, 1960
Chicago, Illinois

What logical fallacy does Kennedy use?",hasty generalization,hasty generalization
1361,https://quizizz.com/admin/quiz/5c6cbd74936b92001a45521b/logical-fallacies,LOGICAL FALLACIES,10th grade,overgeneralization,"""You shouldn't go to 'Vomito' I went once and the food was awful."" is",hasty generalization,overgeneraliz
1365,https://quizizz.com/admin/quiz/5c6cbd74936b92001a45521b/logical-fallacies,LOGICAL FALLACIES,10th grade,Overgeneralization,"""Avoid Latam Airlines. Their planes are always late"" is what kind of fallacy?",hasty generalization,overgeneraliz
1396,https://quizizz.com/admin/quiz/6059f970a5d7c3001da9d533/logical-fallacies,Logical Fallacies,10th - 12th grade,Hasty generalization: a broad claim based on too few observations,"Two of my best friends are really introverted, shy people, and they both have cats. That leads to me believe that most cat lovers are really shy.",hasty generalization,hasty generalization
1398,https://quizizz.com/admin/quiz/6059f970a5d7c3001da9d533/logical-fallacies,Logical Fallacies,10th - 12th grade,Hasty generalization: a broad claim based on too few observations,"I've only read a couple pages of this book, and I've already found a typo. There's no way I'm reading the rest of this garbage.",hasty generalization,hasty generalization
39013,https://quizizz.com/admin/quiz/60b4f4000f8488001b40c84c/types-of-logical-fallacy,TYPES OF LOGICAL FALLACY,9th grade,Hasty generalization,Christine has a terrible experience with a boyfriend. She decides that all boys are mean.,hasty generalization,hasty generalization
1475,https://quizizz.com/admin/quiz/5e32e7cf3c268f001c0dda1d/logical-fallacies,Logical Fallacies,10th grade,Hasty Generalization,We think that Malltime will be a success because all little girls like shopping.,hasty generalization,hasty generalization
1488,https://quizizz.com/admin/quiz/6030549c418d3e001bcbfb14/logical-fallacies-the-snap-decision-the-people,"Logical Fallacies: The Snap Decision & The ""People""",9th - 12th grade,Hasty Generalization,"My roommate from Maine loves lobsters, therefore all people from Maine love lobsters.",hasty generalization,hasty generalization
1496,https://quizizz.com/admin/quiz/5fa59387abc53e001b67ecbc/logical-fallacies,Logical Fallacies,6th - 8th grade,Hasty Generalization,"The spider that bit was poison, therefore all spiders are poison.",hasty generalization,hasty generalization
1497,https://quizizz.com/admin/quiz/5fa59387abc53e001b67ecbc/logical-fallacies,Logical Fallacies,6th - 8th grade,Hasty Generalization,The child did not do his chores so therefore all children are lazy.,hasty generalization,hasty generalization
1498,https://quizizz.com/admin/quiz/5fa59387abc53e001b67ecbc/logical-fallacies,Logical Fallacies,6th - 8th grade,Hasty generalization,The teenagers where rude and disrespectful therefore all teenagers are rude and disrespectful.,hasty generalization,hasty generalization
1499,https://quizizz.com/admin/quiz/5fa59387abc53e001b67ecbc/logical-fallacies,Logical Fallacies,6th - 8th grade,Hasty generalization,This guy in my class with glasses always talks in class so all guys with glasses are talkative.,hasty generalization,hasty generalization
1500,https://quizizz.com/admin/quiz/5fa59387abc53e001b67ecbc/logical-fallacies,Logical Fallacies,6th - 8th grade,Hasty Generalization,I met a rude person from France yesterday. I guess all French people are rude.,hasty generalization,hasty generalization
1570,https://quizizz.com/admin/quiz/5da9c616b36650001b516bbf/logical-fallacies,Logical Fallacies,9th - 12th grade,hasty generalization,Christine has a terrible experience with a boyfriend. She decides that all boys are mean. This is an example of which logical fallacy?,hasty generalization,hasty generalization
1598,https://quizizz.com/admin/quiz/5fe94858a0463a001b61cfcc/logical-fallacies,Logical Fallacies,9th - 12th grade,Hasty Generalization,"“Because young male drivers are twice as likely to get into a car accident, they should pay more for car insurance.”",hasty generalization,hasty generalization
1604,https://quizizz.com/admin/quiz/5fe94858a0463a001b61cfcc/logical-fallacies,Logical Fallacies,9th - 12th grade,Hasty Generalization,news organizations are Fake News?,hasty generalization,hasty generalization
1731,https://quizizz.com/admin/quiz/5af3432e02fd7c0019e40cd2/king-hamilton-logical-fallacies,King/Hamilton Logical Fallacies,10th grade,Hasty Generalization,Alissa has class with a football player who is a class clown. He disrupts the class and is failing. Alissa decides all football players are not serious students.,hasty generalization,hasty generalization
1783,https://quizizz.com/admin/quiz/606629c9f6277b001bfe66ab/logical-fallacies,Logical Fallacies,9th - 12th grade,Hasty Generalization,"Fred, the German, stole my wallet. Therefore, all Germans are thieves.",hasty generalization,hasty generalization
1799,https://quizizz.com/admin/quiz/58dcf493b907d2d254cf10e4/logical-fallacies-gr,Logical Fallacies (GR8),6th - 8th grade,Hasty Generalization,"Four out of five dentists recommend Happy Glossy Smiley toothpaste brand. Therefore, it must be great.",hasty generalization,hasty generalization
1844,https://quizizz.com/admin/quiz/60be1e6d23fc31001d455d29/rhetorical-devices-and-logical-fallacies,Rhetorical Devices and Logical Fallacies,9th - 12th grade,Hasty Generalization,"""Even though it's only the first day, I can tell this is going to be a boring course.""",hasty generalization,hasty generalization
6561,https://quizizz.com/admin/quiz/601d66c86088e4001bc1a9d9/fallacies-pt,"Fallacies, pt. 3",9th - 12th grade,Hasty Generalization,"Southerners talk fast. I was just on the phone with one, and I could barely keep up!",hasty generalization,hasty generalization; overgeneraliz
1915,https://quizizz.com/admin/quiz/5ff761adba6d42001bcabe58/literary-devices-fallacies,Literary Devices & Fallacies,9th - 12th grade,Hasty generalization,"I have a red car. My car was in a wreck. Therefore, all red cars get wrecked.",hasty generalization,hasty generalization
2122,https://quizizz.com/admin/quiz/602f2741339967001ca8a849/fallacies-of-arguments-based-on-reason,Fallacies of Arguments Based on Reason,11th grade,Hasty Generalization,“There aren’t any good restaurants in Sydney; I tried two and they were both horrible.”,hasty generalization,hasty generalization
2181,https://quizizz.com/admin/quiz/601c1a998a4446001bbad32c/logical-fallacies-show-it,Logical Fallacies Show It,8th grade,stereotype,"to define a person based on faulty opinions derived by judgments made about a group, a class, or race of people",hasty generalization,stereotyp
40370,https://quizizz.com/admin/quiz/5ed74db1ca42f7001b829786/fallacies,Fallacies,12th grade,Stereotyping,Why did the blond cross the road?  Because she saw a shoe sale!,hasty generalization,stereotyp
40371,https://quizizz.com/admin/quiz/5ed74db1ca42f7001b829786/fallacies,Fallacies,12th grade,Categorical Claim,"Everyone who gets a college degree is better off.  All people who are better off as a result of getting a degree are good to have conversations with.  Therefore, everyone who gets a college degree is a good person to have a conversation with.",hasty generalization,categorical claim
40373,https://quizizz.com/admin/quiz/5ed74db1ca42f7001b829786/fallacies,Fallacies,12th grade,Stereotyping,People who wear glasses are smarter.,hasty generalization,stereotyp
40377,https://quizizz.com/admin/quiz/5ed74db1ca42f7001b829786/fallacies,Fallacies,12th grade,Categorical Claim,All dogs go to heaven.,hasty generalization,categorical claim
38727,https://quizizz.com/admin/quiz/607458ee15ccc6001be76514/logical-fallacy,Logical Fallacy,6th grade,Overgeneralizing,All tall people are good basketball players.,hasty generalization,categorical claim; overgeneraliz
40380,https://quizizz.com/admin/quiz/5ed74db1ca42f7001b829786/fallacies,Fallacies,12th grade,Categorical Claim,1 = a number; 2 = a number; therefore 1 = 2.,hasty generalization,categorical claim
40381,https://quizizz.com/admin/quiz/5ed74db1ca42f7001b829786/fallacies,Fallacies,12th grade,Stereotyping,Women can't do as good a job as men.,hasty generalization,stereotyp
40383,https://quizizz.com/admin/quiz/5ed74db1ca42f7001b829786/fallacies,Fallacies,12th grade,Stereotyping,All people who live in England have bad teeth.,hasty generalization,stereotyp
40386,https://quizizz.com/admin/quiz/5ed74db1ca42f7001b829786/fallacies,Fallacies,12th grade,Categorical Claim,Pre-AP kids are smart and creative.,hasty generalization,categorical claim
2257,https://quizizz.com/admin/quiz/5df18450e0d780001ef69064/logical-fallacies-set,Logical Fallacies Set 3,9th - 12th grade,hasty generalization,My job interview did not go well. I'll never get a job.,hasty generalization,hasty generalization
2261,https://quizizz.com/admin/quiz/605a2838960a72001b01c652/logical-fallacies-quiz,Logical Fallacies 101 Quiz,10th grade,hasty generalization,"If you get in a car wreck, and the fault of the wreck is a teenage boy at ECR, believing all teenage boys at ECR are bad drivers is an example of:",hasty generalization,hasty generalization
2296,https://quizizz.com/admin/quiz/5da92387769162001aadb41f/logical-fallacies-q-s,Logical fallacies (10 Q's),10th grade,Hasty generalization,Look at people like Michael Vick and OJ Simpson. Professional athletes really have no sense of morality.,hasty generalization,hasty generalization
2302,https://quizizz.com/admin/quiz/5da92387769162001aadb41f/logical-fallacies-q-s,Logical fallacies (10 Q's),10th grade,Hasty generalization,Teenagers are too immature and self-absorbed to understand anything about global issues.,hasty generalization,hasty generalization
2510,https://quizizz.com/admin/quiz/5a9d7720b3079e00192c084e/fallacies,Fallacies,8th - 9th grade,Hasty Generalization,"My cat sleeps all day, so cats must be pretty lazy.",hasty generalization,hasty generalization
2517,https://quizizz.com/admin/quiz/6077129b829907001ceb944c/logical-fallacies,Logical Fallacies #1,10th grade,"Hasty Generalization: Conclusion based on a small sample size, rather than looking at statistics that are much more in line with the typical or average situation.",“People nowadays only vote with their emotions instead of their brains.”,hasty generalization,hasty generalization
2518,https://quizizz.com/admin/quiz/6077129b829907001ceb944c/logical-fallacies,Logical Fallacies #1,10th grade,"Hasty Generalization: Conclusion based on a small sample size, rather than looking at statistics that are much more in line with the typical or average situation.",Parents today would rather their kids suppress their identity rather than just be who they are even if it doesn't go with the norm.,hasty generalization,hasty generalization
2519,https://quizizz.com/admin/quiz/6077129b829907001ceb944c/logical-fallacies,Logical Fallacies #1,10th grade,"Hasty Generalization: Conclusion based on a small sample size, rather than looking at statistics that are much more in line with the typical or average situation.",People who read are smart.,hasty generalization,hasty generalization
2568,https://quizizz.com/admin/quiz/5db2bfe7c071cc001c22208b/logical-fallacies,Logical Fallacies,11th - 12th grade,Hasty Generalization,"""I have one Japanese friend and it's true that all of them are numb.""",hasty generalization,hasty generalization
2651,https://quizizz.com/admin/quiz/601056163892d4001ea82a59/rhetorical-devices-and-logical-fallacies,Rhetorical Devices and Logical Fallacies,6th grade,It stereotypes.,"""Annie must like Starbucks because all girls like Starbucks.""",hasty generalization,it stereotypes.; stereotyp
42936,https://quizizz.com/admin/quiz/5a80d327f21f740021abaa7f/logical-fallacies,Logical Fallacies,12th - University grade,Hasty Generalization,"Jeff is preparing to create a commercial for a new energy drink. He visits a local high school and surveys students in an English class about their beverage preferences. The majority of the class says they prefer grape flavored drinks, so Jeff tells his superiors that grape is the flavor favored most by high school students. What error in reasoning has Jeff made?",hasty generalization,hasty generalization
2949,https://quizizz.com/admin/quiz/5f86ed951d73dd001bc299ca/logical-fallacies,Logical Fallacies,10th grade,hasty generalization,"There are no good restaurants in New York; I tried two in Times Square, and they were awful.",hasty generalization,hasty generalization
43329,https://quizizz.com/admin/quiz/601af49c678cb2001f54a78b/th-logical-fallacies,8th Logical Fallacies,8th grade,sweeping generalization,"""Everyone wants to be an English teacher.""",hasty generalization,sweeping generaliz
3161,https://quizizz.com/admin/quiz/5ac7f7a776f100001a27e778/logical-reasoning,Logical Reasoning,8th grade,Hasty Generalization,"""Sarah likes to run. All girls must like to run.""",hasty generalization,hasty generalization
3244,https://quizizz.com/admin/quiz/5fc9b74119cbd7001ce27869/week-recap,Week 3.4 Recap,6th grade,overgeneralization,"""No one stops to process...No one appreciates the value"" is an example of",hasty generalization,overgeneraliz
3305,https://quizizz.com/admin/quiz/5fd79a1feb9b65001b6de52a/ap-q-rhetorical-fallacies,AP Q2 Rhetorical fallacies,11th grade,hasty generalization,"""My uncle eats pizza and cake and he is thin. Pizza and cake aren’t the cause of obesity. "" is an example of",hasty generalization,hasty generalization
3339,https://quizizz.com/admin/quiz/5f60f9039253d1001c48f3f4/logos-practice,Logos Practice,11th grade,Hasty Generalization,"""Some tall people recently vandalized the park, tall people are irresponsible.""",hasty generalization,hasty generalization
3717,https://quizizz.com/admin/quiz/5f94ad435ac957001b6b2e85/fallacies,Fallacies 🤭,9th grade,Faulty Generalizations,"Sarah loves to wear running shoes, all girls must like to run.",hasty generalization,faulty generalization
3811,https://quizizz.com/admin/quiz/58ee7ef2f594a8e768780149/rhetorical-fallacies,Rhetorical Fallacies,9th - 12th grade,Hasty Generalization,"""My roommate said her philosophy class was hard, and the one I'm in is hard, too. All philosophy classes must be hard!”",hasty generalization,hasty generalization
40763,https://quizizz.com/admin/quiz/606f2b6b47ee6d001bc7e98c/logical-fallacy,logical fallacy,9th grade,hasty generalization,"My parents are democrats, and they are good people. Therefore, all democrats must be good people.",hasty generalization,hasty generalization
3841,https://quizizz.com/admin/quiz/5fac75e5dc466f001c2cbeeb/logical-fallacies,Logical Fallacies,12th grade,Sweeping Generalization,"""All Muslims are terrorists"" is an example of",hasty generalization,sweeping generaliz
3898,https://quizizz.com/admin/quiz/5ffdbb6b36ee14001ec3829e/fallacies,Fallacies,9th grade,Hasty Generalization,I can tell this movie is going to be terrible; the opening credits aren't even over yet!,hasty generalization,hasty generalization
4221,https://quizizz.com/admin/quiz/5e528b7fe6cfb3001ca07fd8/mankind-s-next-giant-leap,Mankind's Next Giant Leap,7th grade,overgeneralization,"""Everyone who likes pizza likes pepperoni"" is an example of",hasty generalization,overgeneraliz
4425,https://quizizz.com/admin/quiz/5d90f216d258e4001a11c33c/fun-with-fallacies,Fun? With Fallacies,11th grade,Hasty Generalization,"Teachers don't have lives.""My best friend said her English class was hard, and the one I'm in is hard too. All English classes must be hard.""",hasty generalization,hasty generalization
4962,https://quizizz.com/admin/quiz/60332e20073770001d1ef61f/english-review,ENGLISH 9 - Review,9th grade,hasty generalization,"""My cousin said her Math class was hard. The one that I’m in is hard too. All Math classes must be hard.""
This statement is an example of…",hasty generalization,hasty generalization
6062,https://quizizz.com/admin/quiz/5cb0c70b48b73f001a2f710e/persuasive-unit-quiz-review,Persuasive Unit Quiz Review,9th - 12th grade,Overgeneralization,All chess players are geniuses.,hasty generalization,overgeneraliz
6064,https://quizizz.com/admin/quiz/5cb0c70b48b73f001a2f710e/persuasive-unit-quiz-review,Persuasive Unit Quiz Review,9th - 12th grade,Hasty generalization,"Trying to finish a marathon is impossible, I know because I tried it once.",hasty generalization,hasty generalization
6379,https://quizizz.com/admin/quiz/604cfcb11c34ee001b0bd464/unit-test-review,Unit 1 Test Review,11th - 12th grade,Hasty Generalization,"Saying things like ""ALL teenagers are irresponsible"" would be an example of which type of fallacy?",hasty generalization,hasty generalization
6562,https://quizizz.com/admin/quiz/601d66c86088e4001bc1a9d9/fallacies-pt,"Fallacies, pt. 3",9th - 12th grade,Hasty generalization,"""The two courses I took at UWI were not very interesting. I don't think its a good university.""",hasty generalization,hasty generalization
6564,https://quizizz.com/admin/quiz/601d66c86088e4001bc1a9d9/fallacies-pt,"Fallacies, pt. 3",9th - 12th grade,Hasty Generalization,"My dog got sprayed by a skunk this morning on the trail; therefore, trail running is dangerous.",hasty generalization,hasty generalization
7195,https://quizizz.com/admin/quiz/5c3fedfb7e72ee001a76fce6/persuasive-text-quiz,PERSUASIVE TEXT QUIZ,7th - 8th grade,Stereotype,I can't trust the mayor or the governor. All politicians must be liars.,hasty generalization,stereotyp
7196,https://quizizz.com/admin/quiz/5c3fedfb7e72ee001a76fce6/persuasive-text-quiz,PERSUASIVE TEXT QUIZ,7th - 8th grade,Stereotype,All writing teachers must be awesome because Ms. Lopez is.,hasty generalization,stereotyp
38920,https://quizizz.com/admin/quiz/5c3fa485496da9001b98b7d7/advertising-techniques,Advertising Techniques,6th grade,Stereotype,"Unfair judgement of people based on looks, belief, or ethnic background.",hasty generalization,stereotyp
30186,https://quizizz.com/admin/quiz/5f6c215473a960001b4b0054/philosophy-ct-unit-mc-practice,Philosophy&CT Unit 2 MC Practice,11th - 12th grade,Hasty generalization,"A shopkeeper suspects you of stealing and asks you to empty your pockets. The first thing you take out is an empty gum wrapper and they immediately shout, “I knew it!” What fallacy has the shopkeeper committed?",hasty generalization,hasty generalization
30194,https://quizizz.com/admin/quiz/5f6c215473a960001b4b0054/philosophy-ct-unit-mc-practice,Philosophy&CT Unit 2 MC Practice,11th - 12th grade,Anecdotal,You have a friend who claims that cats like to go to windows and watch sunsets because that is what her cats does. What fallacy has she committed?,hasty generalization,anecdotal
38302,https://quizizz.com/admin/quiz/610b247eaba1ad001c963c21/detective-fallacy,Detective Fallacy 2.0,11th grade,Hasty Generalization,"Jeff is preparing to create a commercial for a new energy drink. He visits a local high school and surveys students in an English class about their beverage preferences. The majority of the class says they prefer grape flavored drinks, so Jeff tells his superiors that grape is the flavor favored most by high school students.

What error in reasoning has Jeff made?",hasty generalization,hasty generalization
